('ad', 'ad')
('aft', 'fat')
('afy', 'fay')
('efn', 'fen')
('efy', 'fey')
('bfi', 'fib')
('fgi', 'fig')
('fir', 'fir')
('fix', 'fix')
('bfo', 'fob')
('fgo', 'fog')
('for', 'for')
('fir', 'fri')
('fnu', 'fun')
('abg', 'gab')
('agg', 'gag')
('agm', 'gam')
('agp', 'gap')
('ags', 'gas')
('eeg', 'gee')
('egm', 'gem')
('egt', 'get')
('gin', 'gin')
('bgo', 'gob')
('gop', 'gop')
('gov', 'gov')
('gnu', 'gun')
('guy', 'guy')
('gpy', 'gyp')
('adh', 'had')
('ahh', 'hah')
('ahp', 'hap')
('aht', 'hat')
('ahy', 'hay')
('ehn', 'hen')
('ehr', 'her')
('ehx', 'hex')
('dhi', 'hid')
('him', 'him')
('his', 'his')
('bho', 'hob')
('dho', 'hod')
('gho', 'hog')
('hop', 'hop')
('how', 'how')
('ehu', 'hue')
('hhu', 'huh')
('hnu', 'hun')
('cei', 'ice')
('adi', 'ida')
('ikl', 'ilk')
('cin', 'inc')
('ikn', 'ink')
('ins', 'ins')
('ino', 'ion')
('eir', 'ire')
('irs', 'irs')
('ist', 'its')
('isv', 'ivs')
('iow', 'iwo')
('agj', 'jag')
('ajn', 'jan')
('ajr', 'jar')
('ajy', 'jay')
('ejw', 'jew')
('gij', 'jig')
('bjo', 'job')
('gjo', 'jog')
('joy', 'joy')
('jlu', 'jul')
('jsu', 'jus')
('akt', 'kat')
('ekn', 'ken')
('dik', 'kid')
('ikp', 'kip')
('abl', 'lab')
('agl', 'lag')
('alp', 'lap')
('alt', 'lat')
('alx', 'lax')
('del', 'led')
('egl', 'leg')
('ekl', 'lek')
('elt', 'let')
('elx', 'lex')
('dil', 'lid')
('ilp', 'lip')
('ilz', 'liz')
('glo', 'log')
('los', 'los')
('low', 'low')
('glu', 'lug')
('adm', 'mad')
('agm', 'mag')
('alm', 'mal')
('amo', 'mao')
('amr', 'mar')
('amw', 'maw')
('amy', 'may')
('egm', 'meg')
('emt', 'met')
('aim', 'mia')
('gim', 'mig')
('imn', 'min')
('imx', 'mix')
('dmo', 'mod')
('mmo', 'mom')
('moo', 'moo')
('mow', 'mow')
('dmu', 'mud')
('mmu', 'mum')
('agn', 'nag')
('any', 'nay')
('ben', 'neb')
('env', 'nev')
('bin', 'nib')
('inp', 'nip')
('inx', 'nix')
('gno', 'nog')
('nno', 'non')
('nos', 'nos')
('nov', 'nov')
('bnu', 'nub')
('ntu', 'nut')
('afo', 'oaf')
('aor', 'oar')
('bio', 'obi')
('deo', 'ode')
('ffo', 'off')
('hmo', 'ohm')
('ilo', 'oil')
('elo', 'ole')
('not', 'ont')
('bor', 'orb')
('iou', 'oui')
('otu', 'out')
('eow', 'owe')
('now', 'own')
('alp', 'pal')
('app', 'pap')
('aps', 'pas')
('apw', 'paw')
('aep', 'pea')
('enp', 'pen')
('epr', 'per')
('epw', 'pew')
('eip', 'pie')
('inp', 'pin')
('ipt', 'pit')
('lop', 'plo')
('bop', 'pob')
('eop', 'poe')
('opp', 'pop')
('opt', 'pot')
('opx', 'pox')
('opr', 'pro')
('ips', 'psi')
('gpu', 'pug')
('ppu', 'pup')
('ptu', 'put')
('aqt', 'qat')
('equ', 'que')
('oqu', 'quo')
('afr', 'raf')
('ahr', 'rah')
('anr', 'ran')
('art', 'rat')
('ary', 'ray')
('der', 'red')
('egr', 'reg')
('emr', 'rem')
('epr', 'rep')
('ert', 'ret')
('erx', 'rex')
('bir', 'rib')
('gir', 'rig')
('ior', 'rio')
('anr', 'rna')
('dor', 'rod')
('mor', 'rom')
('orw', 'row')
('eru', 'rue')
('mru', 'rum')
('rtu', 'rut')
('ery', 'rye')
('ads', 'sad')
('ams', 'sam')
('aos', 'sao')
('ast', 'sat')
('asx', 'sax')
('cis', 'sci')
('ces', 'sec')
('ens', 'sen')
('eqs', 'seq')
('esw', 'sew')
('ehs', 'she')
('cis', 'sic')
('ins', 'sin')
('irs', 'sir')
('ist', 'sit')
('iks', 'ski')
('lsy', 'sly')
('dos', 'sod')
('nos', 'son')
('oss', 'sos')
('osw', 'sow')
('osy', 'soy')
('psy', 'spy')
('sty', 'sty')
('esu', 'sue')
('msu', 'sum')
('psu', 'sup')
('adt', 'tad')
('ajt', 'taj')
('aot', 'tao')
('art', 'tar')
('atu', 'tau')
('atx', 'tax')
('aet', 'tea')
('eet', 'tee')
('ent', 'ten')
('eht', 'the')
('hty', 'thy')
('eit', 'tie')
('int', 'tin')
('itt', 'tit')
('eot', 'toe')
('mot', 'tom')
('oot', 'too')
('ott', 'tot')
('otw', 'tow')
('rty', 'try')
('etu', 'tue')
('tux', 'tux')
('otw', 'two')
('fou', 'ufo')
('eku', 'uke')
('anu', 'una')
('ipu', 'upi')
('bru', 'urb')
('asu', 'usa')
('osu', 'uso')
('etu', 'ute')
('alv', 'val')
('asv', 'vas')
('etv', 'vet')
('aiv', 'via')
('imv', 'vim')
('isv', 'vis')
('lov', 'vol')
('ovw', 'vow')
('acw', 'wac')
('agw', 'wag')
('arw', 'war')
('awx', 'wax')
('bew', 'web')
('eew', 'wee')
('how', 'who')
('giw', 'wig')
('itw', 'wit')
('kow', 'wok')
('oow', 'woo')
('rwy', 'wry')
('amy', 'yam')
('awy', 'yaw')
('aey', 'yea')
('esy', 'yes')
('ewy', 'yew')
('ipy', 'yip')
('moy', 'yom')
('ouy', 'you')
('dty', 'ytd')
('dez', 'zed')
('ipz', 'zip')
('ooz', 'zoo')
('abbr', 'abbr')
('abde', 'abed')
('abel', 'able')
('abtu', 'abut')
('acde', 'aced')
('aceh', 'ache')
('acdi', 'acid')
('acem', 'acme')
('acer', 'acre')
('acot', 'acto')
('acly', 'acyl')
('adds', 'adds')
('adtv', 'advt')
('aeno', 'aeon')
('aery', 'aery')
('afor', 'afro')
('adeg', 'aged')
('aegs', 'ages')
('aegu', 'ague')
('ahoy', 'ahoy')
('adis', 'aids')
('ails', 'ails')
('ainu', 'ainu')
('airy', 'airy')
('aikn', 'akin')
('aaln', 'alan')
('aals', 'alas')
('aeel', 'alee')
('aagl', 'alga')
('aiil', 'alii')
('alls', 'alls')
('aalm', 'alma')
('aelo', 'aloe')
('alos', 'also')
('alot', 'alto')
('aahm', 'amah')
('aemn', 'amen')
('adim', 'amid')
('akmo', 'amok')
('amps', 'amps')
('aaln', 'anal')
('aenw', 'anew')
('aann', 'anna')
('anno', 'anno')
('aans', 'ansa')
('aint', 'anti')
('amnu', 'anum')
('adep', 'aped')
('aepx', 'apex')
('aaqu', 'aqua')
('achr', 'arch')
('aaer', 'area')
('agor', 'argo')
('adir', 'arid')
('akrs', 'arks')
('amry', 'army')
('arty', 'arty')
('alry', 'aryl')
('acis', 'asci')
('aais', 'asia')
('anss', 'assn')
('aist', 'asti')
('aopt', 'atop')
('atty', 'atty')
('aalu', 'aula')
('antu', 'aunt')
('aotu', 'auto')
('adiv', 'avid')
('aivv', 'aviv')
('aawy', 'away')
('aesw', 'awes')
('answ', 'awns')
('arwy', 'awry')
('adex', 'axed')
('aesx', 'axes')
('aisx', 'axis')
('anox', 'axon')
('aesy', 'ayes')
('aabs', 'baas')
('abbe', 'babe')
('abch', 'bach')
('abde', 'bade')
('abht', 'baht')
('abit', 'bait')
('abdl', 'bald')
('abil', 'bali')
('abll', 'ball')
('abdn', 'band')
('abgn', 'bang')
('abns', 'bans')
('abdr', 'bard')
('abfr', 'barf')
('abnr', 'barn')
('abrs', 'bars')
('abhs', 'bash')
('abss', 'bass')
('abet', 'bate')
('abst', 'bats')
('abdu', 'baud')
('ablw', 'bawl')
('abde', 'bead')
('abem', 'beam')
('aber', 'bear')
('abeu', 'beau')
('bdes', 'beds')
('been', 'been')
('beer', 'beer')
('beet', 'beet')
('bell', 'bell')
('bely', 'bely')
('bden', 'bend')
('bent', 'bent')
('bemr', 'berm')
('best', 'best')
('beet', 'bete')
('best', 'bets')
('bevy', 'bevy')
('abis', 'bias')
('bdei', 'bide')
('beir', 'bier')
('beil', 'bile')
('bill', 'bill')
('bgin', 'bing')
('biio', 'bioi')
('bdir', 'bird')
('bist', 'bits')
('abhl', 'blah')
('bdel', 'bled')
('bilp', 'blip')
('bclo', 'bloc')
('blow', 'blow')
('blru', 'blur')
('abor', 'boar')
('abot', 'boat')
('bcko', 'bock')
('bdoo', 'bodo')
('beor', 'boer')
('bgoy', 'bogy')
('bilo', 'boil')
('ablo', 'bola')
('belo', 'bole')
('bloo', 'bolo')
('bbmo', 'bomb')
('bdno', 'bond')
('bgno', 'bong')
('bnoo', 'bono')
('bboo', 'boob')
('bmoo', 'boom')
('boor', 'boor')
('boot', 'boot')
('beor', 'bore')
('bnor', 'born')
('bhos', 'bosh')
('boss', 'boss')
('bhot', 'both')
('blow', 'bowl')
('bosy', 'boys')
('abdr', 'brad')
('abgr', 'brag')
('abrs', 'bras')
('abry', 'bray')
('beir', 'brei')
('bcir', 'bric')
('bgir', 'brig')
('bior', 'brio')
('bors', 'bros')
('brtu', 'brut')
('bcku', 'buck')
('bffu', 'buff')
('bblu', 'bulb')
('bklu', 'bulk')
('bmpu', 'bump')
('bgnu', 'bung')
('bnsu', 'buns')
('bouy', 'buoy')
('blru', 'burl')
('bpru', 'burp')
('brsu', 'burs')
('bhsu', 'bush')
('bstu', 'bust')
('bttu', 'butt')
('buzz', 'buzz')
('bety', 'byte')
('acds', 'cads')
('aceg', 'cage')
('acin', 'cain')
('acky', 'caky')
('acfl', 'calf')
('acll', 'call')
('aclx', 'calx')
('acmp', 'camp')
('acen', 'cane')
('acnt', 'cant')
('acop', 'capo')
('acpt', 'capt')
('acer', 'care')
('acpr', 'carp')
('acrt', 'cart')
('achs', 'cash')
('acst', 'cast')
('acst', 'cats')
('aacv', 'cava')
('acvy', 'cavy')
('acsy', 'cays')
('cdee', 'cede')
('celt', 'celt')
('acer', 'cera')
('cess', 'cess')
('achp', 'chap')
('acht', 'chat')
('cehm', 'chem')
('cchi', 'chic')
('chin', 'chin')
('chit', 'chit')
('chow', 'chow')
('cghu', 'chug')
('cino', 'cion')
('ceit', 'cite')
('acdl', 'clad')
('acln', 'clan')
('aclw', 'claw')
('cefl', 'clef')
('cilp', 'clip')
('cglo', 'clog')
('clot', 'clot')
('bclu', 'club')
('aclo', 'coal')
('acox', 'coax')
('bcos', 'cobs')
('ccko', 'cock')
('acdo', 'coda')
('cdos', 'cods')
('cgos', 'cogs')
('cfio', 'coif')
('cino', 'coin')
('aclo', 'cola')
('cilo', 'coli')
('clot', 'colt')
('bcmo', 'comb')
('ceno', 'cone')
('cino', 'coni')
('cnno', 'conn')
('cnot', 'cont')
('ckoo', 'cook')
('cnoo', 'coon')
('coos', 'coos')
('ceop', 'cope')
('copy', 'copy')
('ceor', 'core')
('cnor', 'corn')
('acos', 'cosa')
('cosy', 'cosy')
('cost', 'cots')
('ceov', 'cove')
('cosw', 'cows')
('coyz', 'cozy')
('acgr', 'crag')
('acpr', 'crap')
('ceer', 'cree')
('cerw', 'crew')
('copr', 'crop')
('cdru', 'crud')
('crux', 'crux')
('bceu', 'cube')
('cdsu', 'cuds')
('cesu', 'cues')
('cllu', 'cull')
('cltu', 'cult')
('bcru', 'curb')
('ceru', 'cure')
('crsu', 'curs')
('cpsu', 'cusp')
('cetu', 'cute')
('acny', 'cyan')
('csty', 'cyst')
('abds', 'dabs')
('aadd', 'dada')
('adds', 'dads')
('adis', 'dais')
('adem', 'dame')
('admp', 'damp')
('aden', 'dane')
('ader', 'dare')
('adnr', 'darn')
('adhs', 'dash')
('adet', 'date')
('abdu', 'daub')
('adsy', 'days')
('adde', 'dead')
('adel', 'deal')
('ader', 'dear')
('bdet', 'debt')
('cdeo', 'deco')
('ddee', 'deed')
('deep', 'deep')
('deft', 'deft')
('adej', 'deja')
('deil', 'deli')
('demo', 'demo')
('dent', 'dent')
('dept', 'dept')
('desu', 'deus')
('dewy', 'dewy')
('addi', 'diad')
('adil', 'dial')
('adis', 'dias')
('cdik', 'dick')
('ddio', 'dido')
('deim', 'diem')
('deit', 'diet')
('deik', 'dike')
('deim', 'dime')
('dein', 'dine')
('dins', 'dins')
('dips', 'dips')
('dikr', 'dirk')
('cdis', 'disc')
('diks', 'disk')
('deiv', 'dive')
('cdko', 'dock')
('ddoo', 'dodo')
('deos', 'does')
('dego', 'doge')
('delo', 'dole')
('dllo', 'doll')
('dlot', 'dolt')
('adno', 'dona')
('dgno', 'dong')
('dnos', 'dons')
('door', 'door')
('deop', 'dope')
('dory', 'dory')
('dost', 'dost')
('dhot', 'doth')
('dgou', 'doug')
('deov', 'dove')
('deoz', 'doze')
('abdr', 'drab')
('admr', 'dram')
('adry', 'dray')
('dipr', 'drip')
('bdru', 'drub')
('dmru', 'drum')
('adlu', 'dual')
('cdeu', 'duce')
('cdtu', 'duct')
('ddsu', 'duds')
('desu', 'dues')
('dgsu', 'dugs')
('dllu', 'dull')
('bdmu', 'dumb')
('denu', 'dune')
('dknu', 'dunk')
('dosu', 'duos')
('adru', 'dura')
('dstu', 'dust')
('addy', 'dyad')
('dery', 'dyer')
('deny', 'dyne')
('aelr', 'earl')
('aers', 'ears')
('aest', 'east')
('aest', 'eats')
('bbes', 'ebbs')
('ceru', 'ecru')
('ddey', 'eddy')
('deeg', 'edge')
('deit', 'edit')
('eely', 'eely')
('efst', 'efts')
('eggs', 'eggs')
('eeir', 'eire')
('eeks', 'ekes')
('ehil', 'elhi')
('ells', 'ells')
('eels', 'else')
('eimt', 'emit')
('empt', 'empt')
('dens', 'ends')
('enos', 'eons')
('ceip', 'epic')
('egor', 'ergo')
('ceir', 'eric')
('einr', 'erin')
('errs', 'errs')
('epsy', 'espy')
('ceht', 'etch')
('eerv', 'ever')
('eilv', 'evil')
('eesw', 'ewes')
('ceex', 'exec')
('eitx', 'exit')
('deey', 'eyed')
('eesy', 'eyes')
('aerz', 'ezra')
('acft', 'fact')
('adfs', 'fads')
('afil', 'fail')
('afir', 'fair')
('aefk', 'fake')
('aflx', 'falx')
('afgn', 'fang')
('aefr', 'fare')
('afor', 'faro')
('aeft', 'fate')
('afnu', 'faun')
('afux', 'faux')
('afsy', 'fays')
('aefr', 'fear')
('cefi', 'feci')
('deef', 'feed')
('eefs', 'fees')
('efil', 'feil')
('eflo', 'felo')
('eefm', 'feme')
('efns', 'fens')
('aeft', 'feta')
('defu', 'feud')
('bfis', 'fibs')
('defi', 'fide')
('effi', 'fife')
('fgis', 'figs')
('afil', 'fila')
('fill', 'fill')
('dfin', 'find')
('fikn', 'fink')
('fins', 'fins')
('fimr', 'firm')
('cfis', 'fisc')
('fiks', 'fisk')
('fist', 'fits')
('efix', 'fixe')
('abfl', 'flab')
('afkl', 'flak')
('aflt', 'flat')
('aflx', 'flax')
('aefl', 'flea')
('eefl', 'flee')
('eflw', 'flew')
('filp', 'flip')
('cflo', 'floc')
('fglo', 'flog')
('flow', 'flow')
('eflu', 'flue')
('aflo', 'foal')
('bfos', 'fobs')
('efos', 'foes')
('fgoy', 'fogy')
('dflo', 'fold')
('dfno', 'fond')
('dfoo', 'food')
('foot', 'foot')
('afor', 'fora')
('efor', 'fore')
('fkor', 'fork')
('foor', 'foro')
('flou', 'foul')
('flow', 'fowl')
('afnr', 'fran')
('afry', 'fray')
('eefr', 'free')
('firz', 'friz')
('fmor', 'from')
('afgu', 'fuga')
('efmu', 'fume')
('dfnu', 'fund')
('flru', 'furl')
('fruy', 'fury')
('fssu', 'fuss')
('fuzz', 'fuzz')
('adgs', 'gads')
('affg', 'gaff')
('aggs', 'gags')
('agit', 'gait')
('aegl', 'gale')
('agls', 'gals')
('aegm', 'game')
('agmy', 'gamy')
('agnt', 'gant')
('aegp', 'gape')
('abgr', 'garb')
('agry', 'gary')
('agps', 'gasp')
('adgu', 'gaud')
('aegv', 'gave')
('agsy', 'gays')
('aegr', 'gear')
('degl', 'geld')
('eglt', 'gelt')
('aegn', 'gena')
('egnt', 'gent')
('eggo', 'geog')
('egst', 'gets')
('begi', 'gibe')
('ggis', 'gigs')
('dgil', 'gild')
('gilt', 'gilt')
('gins', 'gins')
('gilr', 'girl')
('gist', 'gist')
('adgl', 'glad')
('egln', 'glen')
('bglo', 'glob')
('glow', 'glow')
('glmu', 'glum')
('agnt', 'gnat')
('gnsu', 'gnus')
('aglo', 'goal')
('bgio', 'gobi')
('dgos', 'gods')
('ggho', 'gogh')
('dglo', 'gold')
('egno', 'gone')
('dgoo', 'good')
('gkoo', 'gook')
('egor', 'gore')
('ghos', 'gosh')
('goot', 'goto')
('gotv', 'govt')
('abgr', 'grab')
('agmr', 'gram')
('agry', 'gray')
('egrw', 'grew')
('dgir', 'grid')
('ginr', 'grin')
('girt', 'grit')
('gort', 'grot')
('bgru', 'grub')
('agmu', 'guam')
('gllu', 'gull')
('gmsu', 'gums')
('gknu', 'gunk')
('gruu', 'guru')
('gstu', 'gust')
('gsuy', 'guys')
('gpsy', 'gyps')
('gory', 'gyro')
('achk', 'hack')
('aceh', 'haec')
('afht', 'haft')
('ahil', 'hail')
('aehk', 'hake')
('afhl', 'half')
('ahlo', 'halo')
('ahmm', 'hamm')
('adhn', 'hand')
('ahkn', 'hank')
('aehr', 'hare')
('ahmr', 'harm')
('ahrt', 'hart')
('ahps', 'hasp')
('aeht', 'hate')
('ahst', 'hats')
('aehv', 'have')
('ahsw', 'haws')
('aehz', 'haze')
('adeh', 'head')
('aehp', 'heap')
('aeht', 'heat')
('deeh', 'heed')
('efht', 'heft')
('dehl', 'held')
('ehlm', 'helm')
('eehm', 'heme')
('ehms', 'hems')
('behr', 'herb')
('eehr', 'here')
('ehrr', 'herr')
('ehnw', 'hewn')
('chik', 'hick')
('dehi', 'hied')
('ghhi', 'high')
('ahil', 'hila')
('hill', 'hill')
('dhin', 'hind')
('hips', 'hips')
('hiss', 'hiss')
('hist', 'hits')
('ahor', 'hoar')
('bhoo', 'hobo')
('chko', 'hock')
('deho', 'hoed')
('ehos', 'hoes')
('ehko', 'hoke')
('ehlo', 'hole')
('ehmo', 'home')
('ehno', 'hone')
('hkno', 'honk')
('fhoo', 'hoof')
('hoop', 'hoop')
('ehop', 'hope')
('hops', 'hops')
('hnor', 'horn')
('ehos', 'hose')
('host', 'host')
('ehov', 'hove')
('bhsu', 'hubs')
('ehsu', 'hues')
('eghu', 'huge')
('ghou', 'hugo')
('ahlu', 'hula')
('hllu', 'hull')
('hmsu', 'hums')
('hknu', 'hunk')
('hntu', 'hunt')
('hrtu', 'hurt')
('hksu', 'husk')
('dehy', 'hyde')
('ehpy', 'hype')
('abim', 'iamb')
('bdii', 'ibid')
('bcim', 'icbm')
('ceis', 'ices')
('cino', 'icon')
('deim', 'idem')
('deis', 'ides')
('dily', 'idly')
('ffiy', 'iffy')
('aiil', 'ilia')
('ills', 'ills')
('aimm', 'imam')
('acin', 'inca')
('fino', 'info')
('ikny', 'inky')
('inst', 'inst')
('inos', 'ions')
('iosu', 'ious')
('aips', 'ipsa')
('iops', 'ipso')
('aiqr', 'iraq')
('iirs', 'iris')
('inor', 'iron')
('iiss', 'isis')
('imss', 'isms')
('chit', 'itch')
('eirt', 'iter')
('airu', 'iura')
('acjk', 'jack')
('agjs', 'jags')
('aejk', 'jake')
('ajms', 'jams')
('aejp', 'jape')
('ajot', 'jato')
('ajsw', 'jaws')
('ajzz', 'jazz')
('eejp', 'jeep')
('ejll', 'jell')
('ejss', 'jess')
('ejst', 'jets')
('beij', 'jibe')
('ffij', 'jiff')
('ijll', 'jill')
('aijm', 'jima')
('ijnx', 'jinx')
('ajno', 'joan')
('cjko', 'jock')
('ejoy', 'joey')
('hjno', 'john')
('ijno', 'join')
('jlot', 'jolt')
('hjos', 'josh')
('jost', 'jots')
('jlow', 'jowl')
('ajnu', 'juan')
('djou', 'judo')
('agju', 'juga')
('jluy', 'july')
('ejnu', 'june')
('jnou', 'juno')
('ejru', 'jure')
('jruy', 'jury')
('ejtu', 'jute')
('ahkn', 'kahn')
('aekl', 'kale')
('akns', 'kans')
('akrt', 'kart')
('aakv', 'kava')
('ackl', 'kcal')
('eekn', 'keen')
('egks', 'kegs')
('eklt', 'kelt')
('ekns', 'kens')
('eikp', 'kepi')
('efkr', 'kerf')
('ekot', 'keto')
('ahkn', 'khan')
('cikk', 'kick')
('eikv', 'kiev')
('ikln', 'kiln')
('iklt', 'kilt')
('gikn', 'king')
('ikno', 'kino')
('ikkr', 'kirk')
('eikt', 'kite')
('ikst', 'kits')
('akln', 'klan')
('eekn', 'knee')
('iknt', 'knit')
('knot', 'knot')
('knox', 'knox')
('chko', 'koch')
('gkno', 'kong')
('koos', 'koso')
('kruu', 'kuru')
('abls', 'labs')
('ackl', 'lack')
('adel', 'lade')
('adly', 'lady')
('adil', 'laid')
('ailr', 'lair')
('aekl', 'lake')
('aalm', 'lama')
('aelm', 'lame')
('adln', 'land')
('agln', 'lang')
('alos', 'laos')
('alps', 'laps')
('aklr', 'lark')
('alss', 'lass')
('aalt', 'lata')
('ahlt', 'lath')
('adlu', 'laud')
('aelv', 'lave')
('alsw', 'laws')
('aelz', 'laze')
('adel', 'lead')
('aekl', 'leak')
('aelp', 'leap')
('eelr', 'leer')
('eflt', 'left')
('egls', 'legs')
('eils', 'leis')
('aelm', 'lema')
('elns', 'lens')
('elno', 'leon')
('eels', 'lese')
('elst', 'lest')
('eilv', 'levi')
('delw', 'lewd')
('bils', 'libs')
('cikl', 'lick')
('dils', 'lids')
('efil', 'lief')
('eils', 'lies')
('efil', 'life')
('filt', 'lift')
('illt', 'lilt')
('ailm', 'lima')
('eilm', 'lime')
('ilmo', 'limo')
('ilmy', 'limy')
('giln', 'ling')
('ilnt', 'lint')
('ilno', 'lion')
('ailr', 'lira')
('ilps', 'lisp')
('eilt', 'lite')
('eilv', 'live')
('aflo', 'loaf')
('alno', 'loan')
('bilo', 'lobi')
('chlo', 'loch')
('cklo', 'lock')
('delo', 'lode')
('eglo', 'loge')
('glos', 'logs')
('ilno', 'loin')
('elno', 'lone')
('kloo', 'look')
('lnoo', 'loon')
('loot', 'loot')
('lops', 'lops')
('elor', 'lore')
('elos', 'lose')
('lost', 'lost')
('lost', 'lots')
('lotu', 'lout')
('losw', 'lows')
('belu', 'lube')
('cluy', 'lucy')
('elsu', 'lues')
('glsu', 'lugs')
('lllu', 'lull')
('glnu', 'lung')
('klru', 'lurk')
('lstu', 'lust')
('elsy', 'lyes')
('lnoy', 'lyon')
('elry', 'lyre')
('acem', 'mace')
('acmy', 'macy')
('agim', 'magi')
('adim', 'maid')
('aimm', 'maim')
('aekm', 'make')
('aelm', 'male')
('allm', 'mall')
('almt', 'malt')
('aemn', 'mane')
('amns', 'mans')
('amnx', 'manx')
('amps', 'maps')
('aemr', 'mare')
('almr', 'marl')
('amrt', 'mart')
('amry', 'mary')
('akms', 'mask')
('amst', 'mast')
('ahmt', 'math')
('amtt', 'matt')
('amsw', 'maws')
('aamy', 'maya')
('amsy', 'mays')
('amyz', 'mazy')
('aelm', 'meal')
('aems', 'meas')
('deem', 'meed')
('eemt', 'meet')
('delm', 'meld')
('elmt', 'melt')
('demn', 'mend')
('emnu', 'menu')
('eemr', 'mere')
('ehms', 'mesh')
('eemt', 'mete')
('emmu', 'meum')
('emsw', 'mews')
('acim', 'mica')
('chim', 'mich')
('eimn', 'mien')
('gims', 'migs')
('dilm', 'mild')
('iklm', 'milk')
('ilms', 'mils')
('eimm', 'mime')
('eimn', 'mine')
('himn', 'minh')
('ikmn', 'mink')
('imns', 'mins')
('imnx', 'minx')
('imrv', 'mirv')
('cims', 'misc')
('imss', 'miss')
('eimt', 'mite')
('amno', 'moan')
('bmos', 'mobs')
('demo', 'mode')
('dmoo', 'modo')
('hmos', 'mohs')
('dlmo', 'mold')
('llmo', 'moll')
('mmos', 'moms')
('mnoo', 'mono')
('mnot', 'mont')
('mnoo', 'moon')
('moos', 'moos')
('emop', 'mope')
('mopy', 'mopy')
('emor', 'more')
('moor', 'moro')
('moss', 'moss')
('amot', 'mota')
('hmot', 'moth')
('motu', 'motu')
('mnow', 'mown')
('amox', 'moxa')
('ckmu', 'muck')
('gmsu', 'mugs')
('llmu', 'mull')
('mnou', 'muon')
('emsu', 'muse')
('kmsu', 'musk')
('mstu', 'must')
('mttu', 'mutt')
('hmty', 'myth')
('agns', 'nags')
('aajn', 'naja')
('aenp', 'nape')
('acnr', 'narc')
('anry', 'nary')
('ains', 'nasi')
('anot', 'nato')
('anvy', 'navy')
('ainz', 'nazi')
('aenr', 'near')
('benr', 'nebr')
('cekn', 'neck')
('enno', 'neon')
('enor', 'nero')
('enst', 'nets')
('efnw', 'newf')
('entw', 'newt')
('bins', 'nibs')
('cikn', 'nick')
('ghin', 'nigh')
('ainn', 'nina')
('inps', 'nips')
('inst', 'nits')
('inxy', 'nixy')
('deno', 'node')
('dnos', 'nods')
